census_geoid,pct_,pct_black_nh,moe_unemployment_boro,unemployment_boro,moe_unemployment,unemployment,moe_unemployment_nyc,unemployment_nyc,moe_bach_deg_boro,pct_bach_deg_boro,moe_bach_deg,pct_bach_deg,moe_bach_deg_nyc,pct_bach_deg_nyc,moe_foreign_born,pct_foreign_born,female_under_5,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_5_9,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_over,moe_hh_rent_burd_boro,pct_hh_rent_burd_boro,moe_hh_rent_burd,pct_hh_rent_burd,moe_hh_rent_burd_nyc,pct_hh_rent_burd_nyc,pct_hispanic,moe_mean_commute_boro,mean_commute_boro,moe_mean_commute,mean_commute,moe_mean_commute_nyc,mean_commute_nyc,male_under_5,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_5_9,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_over,moe_over65_rate_boro,over65_rate_boro,moe_over65_rate,over65_rate,moe_over65_rate_nyc,over65_rate_nyc,pop_acs_boro,pop_acs,pop_acs_nyc,moe_under18_rate_boro,under18_rate_boro,moe_under18_rate,under18_rate,moe_under18_rate_nyc,under18_rate_nyc,pct_white_nh,pop_dec
403,16.9,5.0,,,0.3,3.4,,,,,0.8,20.9,,,1.0,58.8,3.6,2.7,2.5,3.0,3.9,4.2,4.0,3.4,3.2,3.0,2.7,2.9,2.5,2.4,2.0,1.1,1.0,1.1,,,2.0,52.7,,,64.5,,,1.7,42.8,,,3.7,3.2,2.6,3.1,4.1,4.8,4.7,4.5,4.0,3.4,3.1,2.8,2.0,1.8,1.2,1.0,0.6,0.5,,,0.6,12.8,,,,186791.0,,,,0.8,22.1,,,12.2,198172.0
404,32.2,4.9,,,0.3,3.1,,,,,0.9,21.5,,,0.9,63.8,3.6,3.1,2.4,3.1,4.2,4.1,3.7,3.4,3.1,2.9,2.7,3.1,2.8,2.1,1.7,1.2,0.8,1.0,,,1.9,54.0,,,55.1,,,1.7,43.6,,,3.6,3.0,2.9,3.4,4.7,4.7,4.2,4.4,3.7,3.3,2.7,3.3,2.4,1.8,1.3,0.9,0.5,0.4,,,0.5,11.6,,,,206053.0,,,,0.9,23.1,,,6.1,211970.0
405,9.9,1.4,,,0.3,3.4,,,,,0.8,28.3,,,1.0,40.0,3.1,3.3,2.5,2.9,3.9,4.2,4.3,3.2,3.7,3.3,3.4,2.8,3.1,2.2,1.4,1.4,1.1,1.2,,,1.7,40.4,,,36.2,,,1.3,42.4,,,3.1,2.7,2.9,3.2,4.0,4.2,4.0,3.4,3.5,3.6,3.3,3.3,2.6,1.8,1.2,0.9,0.5,0.6,,,0.4,12.4,,,,189000.0,,,,0.8,21.9,,,50.7,175522.0
406,28.0,3.3,,,0.4,2.8,,,,,1.1,55.8,,,1.2,48.5,2.9,2.0,1.5,1.9,3.6,4.3,4.3,3.7,3.4,3.4,4.2,2.9,3.9,3.4,2.7,2.0,1.8,2.2,,,2.1,42.7,,,16.7,,,1.4,43.7,,,3.6,1.9,1.4,1.9,3.3,4.2,3.3,3.2,3.1,2.9,3.7,2.1,3.2,3.0,1.8,1.4,1.0,1.0,,,0.6,20.3,,,,128579.0,,,,0.8,17.2,,,48.1,124189.0
407,52.2,2.0,,,0.2,2.5,,,,,0.7,26.8,,,0.8,56.3,2.7,2.3,1.9,2.9,3.8,3.5,3.2,3.5,3.9,4.1,3.9,2.3,3.5,3.0,2.2,2.1,1.6,2.0,,,1.8,56.7,,,17.7,,,1.2,41.0,,,3.1,2.4,2.2,2.4,3.5,3.3,3.2,3.2,3.5,3.9,3.4,2.2,3.1,2.6,2.1,1.5,1.2,1.0,,,0.5,19.2,,,,259477.0,,,,0.6,17.6,,,25.9,261566.0
408,34.7,12.1,,,0.5,5.2,,,,,1.1,38.3,,,1.1,47.6,3.6,2.6,3.3,3.4,4.1,3.6,3.3,3.3,3.2,3.4,3.6,2.5,3.9,2.7,1.7,1.4,1.1,1.2,,,2.3,48.5,,,20.7,,,1.6,44.3,,,3.5,2.6,3.2,3.5,3.6,4.1,2.8,3.2,2.9,2.8,3.5,2.9,3.0,2.3,1.7,1.0,0.9,0.7,,,0.5,14.7,,,,179066.0,,,,0.9,20.8,,,27.8,170338.0
409,27.4,5.8,,,0.3,4.3,,,,,0.8,26.5,,,0.9,51.0,3.1,2.6,3.1,3.9,4.1,3.4,3.4,3.4,3.6,3.6,3.7,2.7,2.9,2.4,1.6,1.1,0.7,1.0,,,1.9,47.8,,,41.4,,,1.4,46.4,,,3.4,3.2,3.3,3.6,4.5,3.8,3.4,3.2,3.8,3.4,3.3,3.1,2.8,1.9,1.3,0.9,0.5,0.5,,,0.4,11.9,,,,162663.0,,,,0.7,22.0,,,17.3,155118.0
410,24.0,13.9,,,0.4,4.8,,,,,1.1,22.3,,,1.2,45.2,2.7,3.1,2.9,4.0,3.8,3.2,3.1,3.4,3.7,3.8,4.1,2.5,3.2,2.7,1.7,1.5,0.9,1.2,,,3.2,50.0,,,25.7,,,1.8,46.2,,,3.1,3.3,3.0,3.2,3.8,3.0,3.0,3.2,3.4,4.0,3.7,2.3,3.2,2.1,1.4,1.3,0.7,0.6,,,0.6,14.2,,,,138765.0,,,,0.9,20.7,,,21.6,125760.0
411,45.3,1.8,,,0.4,2.7,,,,,1.1,42.1,,,1.0,43.7,2.3,2.5,2.3,2.2,3.1,3.1,3.1,3.7,3.6,4.4,3.9,2.1,3.7,3.5,2.4,1.9,1.4,2.1,,,2.9,43.6,,,11.0,,,1.6,44.3,,,3.0,2.7,2.5,2.2,3.2,2.8,3.3,3.0,3.4,3.9,3.8,2.5,3.3,3.3,2.2,1.6,1.1,1.2,,,0.6,20.7,,,,128135.0,,,,0.8,18.2,,,39.6,125734.0
412,14.2,59.5,,,0.4,5.9,,,,,0.7,22.5,,,0.8,43.2,3.1,2.9,3.1,3.5,4.1,3.6,3.6,3.3,3.7,4.0,3.8,2.9,3.2,2.7,1.9,1.4,1.0,1.3,,,1.7,47.1,,,16.3,,,1.4,48.6,,,3.3,3.5,3.0,3.5,4.1,3.5,3.0,2.8,3.0,3.4,3.2,2.8,2.7,1.9,1.2,0.9,0.5,0.5,,,0.4,13.3,,,,272534.0,,,,0.7,22.5,,,2.6,251645.0
413,15.6,55.6,,,0.3,4.4,,,,,0.8,29.6,,,0.9,42.4,3.0,2.6,2.8,3.2,3.8,3.3,3.2,3.2,3.7,4.2,4.0,2.6,3.7,2.9,2.3,1.7,1.3,1.5,,,2.5,43.5,,,12.5,,,1.4,47.4,,,2.9,2.7,2.7,3.4,3.5,3.4,3.0,2.8,3.0,3.4,3.4,2.7,3.1,2.2,2.1,1.2,0.7,0.6,,,0.4,16.6,,,,208220.0,,,,0.7,19.9,,,10.7,194096.0
414,3.8,35.8,,,0.7,5.1,,,,,1.4,29.8,,,1.3,26.7,4.2,3.5,2.7,3.2,3.5,3.5,3.3,3.0,3.5,3.9,3.4,4.0,2.9,2.6,1.9,1.3,1.0,1.2,,,2.5,42.0,,,23.9,,,2.9,51.1,,,4.5,3.3,3.3,3.0,3.6,2.6,2.6,1.8,2.9,3.2,3.6,4.0,2.9,2.1,1.3,1.0,0.9,0.8,,,0.6,14.1,,,,125898.0,,,,1.3,27.2,,,34.2,114978.0
480,5.6,4.2,,,1.4,1.9,,,,,5.1,34.5,,,6.4,38.4,1.8,0.3,1.5,3.4,3.8,3.9,4.2,2.5,4.0,4.4,2.2,2.8,2.8,6.9,2.8,1.0,1.0,1.3,,,16.6,44.1,,,16.9,,,9.9,39.6,,,4.0,3.4,3.1,2.4,2.8,3.3,3.3,4.9,3.4,1.9,2.5,0.8,4.8,2.9,2.2,1.5,1.4,0.5,,,4.9,21.6,,,,6014.0,,,,3.7,15.3,,,73.0,6151.0
481,18.6,8.0,,,3.4,3.3,,,,,4.2,53.6,,,6.1,43.0,3.3,2.7,0.8,2.5,3.3,3.4,3.8,3.4,2.5,5.0,5.0,2.8,5.1,2.5,2.6,0.9,1.8,2.1,,,10.7,48.8,,,32.5,,,7.8,44.8,,,3.0,2.4,0.8,2.5,4.2,5.4,1.8,1.9,6.0,2.8,1.8,1.1,5.3,2.9,1.9,0.3,0.4,1.9,,,3.5,17.4,,,,4009.0,,,,2.9,16.7,,,34.4,4072.0
482,16.6,2.5,,,1.6,1.8,,,,,7.9,61.4,,,7.5,49.8,3.3,2.2,,3.4,1.6,3.5,4.8,2.2,5.9,2.4,5.1,1.2,2.2,4.5,3.6,0.7,4.2,3.1,,,15.1,33.3,,,23.1,,,11.0,45.6,,,1.1,4.1,,3.4,3.6,4.0,3.5,3.2,2.7,3.6,6.3,1.1,0.8,1.6,4.9,1.0,,1.2,,,3.9,24.9,,,,2091.0,,,,5.0,12.8,,,53.5,2347.0
483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0
484,2.4,0.9,,,1.0,2.2,,,,,4.2,31.0,,,4.1,16.1,1.4,4.0,1.4,3.2,2.8,2.1,2.9,2.9,3.3,2.7,4.2,2.0,5.1,4.5,2.7,2.1,1.9,2.9,,,13.5,27.3,,,10.2,,,5.1,39.1,,,2.9,2.3,2.6,2.2,2.4,2.0,1.6,3.0,3.9,3.0,3.9,2.5,4.4,3.8,2.2,1.6,2.2,1.3,,,2.5,25.2,,,,19482.0,,,,2.1,18.3,,,84.6,18863.0
501,9.2,20.3,,,0.4,2.9,,,,,1.0,31.7,,,1.1,25.4,2.9,3.2,3.3,3.4,3.8,3.3,3.4,3.5,3.4,3.6,3.5,2.9,3.3,2.6,1.9,1.3,0.9,0.9,,,2.5,50.7,,,28.8,,,1.8,43.6,,,3.3,3.1,3.6,3.6,3.9,3.4,3.0,3.0,3.1,3.4,3.2,3.5,3.0,2.5,1.2,0.9,0.7,0.5,,,0.4,13.3,,,,181185.0,,,,1.0,23.2,,,38.8,184640.0
502,13.2,4.1,,,0.3,2.8,,,,,1.2,32.8,,,1.1,28.5,2.9,3.2,2.8,3.0,3.3,3.2,3.0,3.3,3.7,4.0,3.7,3.0,3.6,2.8,2.3,1.7,1.3,1.7,,,3.5,44.8,,,14.0,,,1.8,43.8,,,2.7,2.9,2.9,2.8,3.4,3.2,2.5,3.4,3.4,3.5,3.3,3.2,3.2,2.6,1.7,1.2,0.8,0.7,,,0.5,17.0,,,,145127.0,,,,0.8,21.5,,,66.3,142234.0
503,4.5,1.1,,,0.3,2.8,,,,,1.3,34.1,,,0.9,15.9,2.7,3.4,2.9,3.0,3.1,3.0,2.9,3.5,3.8,3.9,4.0,2.5,3.5,2.8,2.7,1.8,1.0,1.4,,,4.0,40.8,,,10.2,,,1.6,45.8,,,2.7,3.1,3.1,3.0,3.1,2.9,2.9,3.5,3.5,3.6,3.5,3.1,3.1,2.5,2.1,1.3,0.8,0.6,,,0.5,17.0,,,,167460.0,,,,0.7,21.3,,,82.9,162095.0
595,9.7,5.5,,,0.7,2.1,,,,,2.4,27.1,,,2.8,35.1,3.1,2.9,2.6,3.9,3.2,3.1,3.7,3.7,3.5,3.6,3.6,4.1,3.5,2.2,1.8,1.8,1.3,1.1,,,8.0,51.5,,,17.1,,,4.0,42.7,,,3.3,1.9,2.7,3.1,3.1,3.5,3.3,3.6,3.9,3.2,4.0,3.8,2.8,1.5,1.5,1.2,0.7,0.5,,,1.2,13.6,,,,35495.0,,,,1.6,21.9,,,64.8,36349.0
36005,,,0.2,6.3,,,,,0.3,19.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,50.9,,,,,,0.3,44.8,,,,,,,,,,,,,,,,,,,,,,,0.1,12.1,,,,,1437872.0,,,0.1,25.1,,,,,,
36081,,,0.1,4.0,,,,,0.3,31.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,46.2,,,,,,0.2,44.1,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,2298513.0,,,,20.3,,,,,,
36085,,,0.2,2.8,,,,,0.7,33.0,,,,,,,,,,,,,,,,,,,,,,,,,1.7,46.5,,,,,,0.6,44.5,,,,,,,,,,,,,,,,,,,,,,,0.1,15.5,,,,,474101.0,,,0.1,22.0,,,,,,
36047,,,0.1,4.4,,,,,0.3,36.5,,,,,,,,,,,,,,,,,,,,,,,,,0.4,45.4,,,,,,0.2,42.6,,,,,,,,,,,,,,,,,,,,,,,0.1,13.2,,,,,2600747.0,,,,23.1,,,,,,
36061,,,0.1,3.8,,,,,0.4,60.8,,,,,,,,,,,,,,,,,,,,,,,,,0.5,36.4,,,,,,0.2,32.1,,,,,,,,,,,,,,,,,,,,,,,0.1,15.8,,,,,1632480.0,,,0.1,14.4,,,,,,
3651000,,,,,,,0.1,4.4,,,,,0.2,37.4,,,,,,,,,,,,,,,,,,,,,,,,,0.3,44.2,,,,,,0.1,41.2,,,,,,,,,,,,,,,,,,,,,,,0.1,14.1,,,8443713.0,,,,,0.1,20.9,,
